"","Package","Suggests"
"83","bridgesampling","R2jags"
"84","bridgesampling","rjags"
"85","bridgesampling","runjags"
"86","bridgesampling","knitr"
"87","bridgesampling","rmarkdown"
"88","bridgesampling","R.rsp"
"89","bridgesampling","BayesFactor"
"90","bridgesampling","rstan"
"91","bridgesampling","rstanarm"
"92","bridgesampling","nimble"
"93","bridgesampling","MCMCpack"
"94","brms","testthat (≥ 0.9.1)"
"95","brms","RWiener"
"96","brms","future"
"97","brms","mice"
"98","brms","spdep"
"99","brms","mnormt"
"100","brms","lme4"
"101","brms","MCMCglmm"
"102","brms","ape"
"103","brms","arm"
"104","brms","statmod"
"105","brms","digest"
"106","brms","R.rsp"
"107","brms","knitr"
"108","brms","rmarkdown"
"109","BSquare","survival"
"110","bsts","testthat"
"111","dclone","MASS"
"112","dclone","lattice"
"113","dclone","R2WinBUGS"
"114","dclone","R2OpenBUGS"
"115","dclone","BRugs"
"116","dclone","rlecuyer"
"117","deBInfer","testthat"
"118","deBInfer","knitr"
"119","deBInfer","rmarkdown"
"120","deBInfer","devtools"
"121","deBInfer","R.rsp"
"122","deBInfer","beanplot"
"123","dlm","MASS"
"124","EbayesThresh","testthat"
"125","EbayesThresh","knitr"
"126","EbayesThresh","rmarkdown"
"127","EbayesThresh","dplyr"
"128","EbayesThresh","ggplot2"
"129","ebdbNet","GeneNet"
"130","ensembleBMA","fields"
"131","ensembleBMA","maps"
"132","exactLoglinTest","stats"
"133","FME","diagram"
"134","geoR","scatterplot3d"
"135","geoR","lattice"
"136","geoR","tcltk"
"137","geoR","geoRglm"
"138","geoRglm","coda"
"139","ggmcmc","coda"
"140","ggmcmc","rstan (≥ 2.10.1)"
"141","ggmcmc","knitr"
"142","ggmcmc","rmarkdown"
"143","ggmcmc","ggthemes"
"144","ggmcmc","gridExtra"
"145","ggmcmc","Cairo"
"146","ggmcmc","extrafont"
"147","glmmBUGS","spdep"
"148","gRain","Rgraphviz"
"149","gRain","microbenchmark"
"150","growcurves","testthat (≥ 0.9.1)"
"151","Hmisc","chron"
"152","Hmisc","rms"
"153","Hmisc","mice"
"154","Hmisc","tables"
"155","Hmisc","knitr"
"156","Hmisc","ff"
"157","Hmisc","ffbase"
"158","Hmisc","plotly (≥
4.5.6)"
"159","LaplacesDemon","KernSmooth"
"160","lme4","knitr"
"161","lme4","boot"
"162","lme4","PKPDmodels"
"163","lme4","MEMSS"
"164","lme4","testthat (≥ 0.8.1)"
"165","lme4","ggplot2"
"166","lme4","mlmRev"
"167","lme4","optimx (≥ 2013.8.6)"
"168","lme4","gamm4"
"169","lme4","pbkrtest"
"170","lme4","HSAUR2"
"171","lme4","numDeriv"
"172","matchingMarkets","knitr"
"173","matchingMarkets","ggplot2"
"174","matchingMarkets","grDevices"
"175","matchingMarkets","graphics"
"176","MCMCglmm","rgl"
"177","MCMCglmm","combinat"
"178","MCMCglmm","mvtnorm"
"179","MCMCglmm","orthopolynom"
"180","MCMCvis","knitr"
"181","MCMCvis","rmarkdown"
"182","MCMCvis","testthat"
"183","mgcv","splines"
"184","mgcv","parallel"
"185","mgcv","survival"
"186","mgcv","MASS"
"187","mlogitBMA","mlogit"
"188","MNP","testthat"
"189","mombf","parallel"
"190","openEBGM","dplyr (≥ 0.5.0)"
"191","openEBGM","knitr (≥ 1.15.1)"
"192","openEBGM","rmarkdown (≥ 1.2)"
"193","openEBGM","testthat (≥ 1.0.2)"
"194","openEBGM","tidyr (≥ 0.6.0)"
"195","PReMiuM","testthat (≥ 1.0.2)"
"196","pscl","lattice"
"197","pscl","MCMCpack"
"198","pscl","car"
"199","pscl","lmtest"
"200","pscl","sandwich"
"201","pscl","zoo"
"202","pscl","coda"
"203","pscl","vcd"
"204","pscl","mvtnorm"
"205","pscl","mgcv"
"206","R2BayesX","akima"
"207","R2BayesX","coda"
"208","R2BayesX","maps"
"209","R2BayesX","maptools"
"210","R2BayesX","MBA"
"211","R2BayesX","parallel"
"212","R2BayesX","shapefiles"
"213","R2BayesX","sp"
"214","R2BayesX","spdep"
"215","R2BayesX","splines"
"216","R2BayesX","rgdal"
"217","R2BayesX","spData"
"218","R2WinBUGS","BRugs (≥ 0.3-2)"
"219","rbugs","coda (≥ 0.13-5)"
"220","revdbayes","evdbayes"
"221","revdbayes","ggplot2 (≥ 2.2.1)"
"222","revdbayes","knitr"
"223","revdbayes","microbenchmark"
"224","revdbayes","rmarkdown"
"225","revdbayes","testthat"
"226","rjags","tcltk"
"227","rstan","RUnit"
"228","rstan","RcppEigen (≥ 0.3.3.3.0)"
"229","rstan","BH (≥ 1.65)"
"230","rstan","parallel"
"231","rstan","KernSmooth"
"232","rstan","loo (≥ 1.0.0)"
"233","rstan","shinystan (≥ 2.2.1)"
"234","rstan","bayesplot"
"235","rstan","rstantools"
"236","rstan","rstudioapi"
"237","rstan","Matrix"
"238","rstan","knitr (≥ 1.15.1)"
"239","runjags","rjags"
"240","runjags","modeest"
"241","runjags","knitr"
"242","SamplerCompare","ggplot2 (≥ 0.9.2)"
"243","SamplerCompare","lintr"
"244","sna","rgl"
"245","sna","numDeriv"
"246","sna","SparseM"
"247","spBayes","MBA"
"248","spBayes","geoR"
"249","spikeSlabGAM","mboost"
"250","spikeSlabGAM","mlbench"
"251","spikeSlabGAM","gtable"
"252","stochvol","mvtnorm"
"253","tgp","MASS"
"254","tRophicPosition","dplyr"
"255","tRophicPosition","knitr"
"256","tRophicPosition","rmarkdown"
"257","tRophicPosition","testthat"
"258","tRophicPosition","covr"
