"","Package","Imports"
"83","brms","stats"
"84","brms","utils"
"85","brms","parallel"
"86","brms","grDevices"
"87","brms","backports"
"88","bsamGP","MASS"
"89","bsamGP","ggplot2"
"90","bsamGP","gridExtra"
"91","catnet","methods"
"92","catnet","stats"
"93","catnet","utils"
"94","catnet","graphics"
"95","coalescentMCMC","Matrix"
"96","coalescentMCMC","phangorn"
"97","coalescentMCMC","stats"
"98","dclone","methods"
"99","dclone","stats"
"100","dclone","rjags (≥ 4-4)"
"101","deBInfer","truncdist"
"102","deBInfer","coda"
"103","deBInfer","RColorBrewer"
"104","deBInfer","MASS"
"105","deBInfer","stats"
"106","deBInfer","mvtnorm"
"107","deBInfer","graphics"
"108","deBInfer","grDevices"
"109","deBInfer","plyr"
"110","deBInfer","PBSddesolve"
"111","deBInfer","methods"
"112","dlm","stats"
"113","dlm","utils"
"114","dlm","methods"
"115","dlm","grDevices"
"116","dlm","graphics"
"117","EbayesThresh","stats"
"118","EbayesThresh","wavethresh"
"119","ebdbNet","graphics"
"120","ebdbNet","stats"
"121","FME","minpack.lm"
"122","FME","MASS"
"123","FME","graphics"
"124","FME","grDevices"
"125","FME","stats"
"126","FME","utils"
"127","FME","minqa"
"128","geoR","MASS"
"129","geoR","sp"
"130","geoR","splancs"
"131","geoR","RandomFields"
"132","geoR","graphics"
"133","geoRglm","sp"
"134","ggmcmc","GGally (≥ 1.1.0)"
"135","glmmBUGS","abind"
"136","glmmBUGS","methods"
"137","glmmBUGS","MASS"
"138","glmmBUGS","sp"
"139","glmmBUGS","graphics"
"140","glmmBUGS","stats"
"141","gRain","igraph"
"142","gRain","graph"
"143","gRain","magrittr"
"144","gRain","functional"
"145","gRain","Rcpp (≥ 0.11.1)"
"146","growcurves","reshape2 (≥ 1.2.1)"
"147","growcurves","Formula (≥ 1.0-0)"
"148","growcurves","ggplot2 (≥ 1.0.1)"
"149","hbsae","Matrix"
"150","hbsae","arm"
"151","Hmisc","methods"
"152","Hmisc","latticeExtra"
"153","Hmisc","cluster"
"154","Hmisc","rpart"
"155","Hmisc","nnet"
"156","Hmisc","acepack"
"157","Hmisc","foreign"
"158","Hmisc","gtable"
"159","Hmisc","grid"
"160","Hmisc","gridExtra"
"161","Hmisc","data.table"
"162","Hmisc","htmlTable (≥ 1.11.0)"
"163","Hmisc","viridis"
"164","Hmisc","htmltools"
"165","Hmisc","base64enc"
"166","LaplacesDemon","parallel"
"167","LaplacesDemon","grDevices"
"168","LaplacesDemon","graphics"
"169","LaplacesDemon","stats"
"170","LaplacesDemon","utils"
"171","lme4","graphics"
"172","lme4","grid"
"173","lme4","splines"
"174","lme4","utils"
"175","lme4","parallel"
"176","lme4","MASS"
"177","lme4","lattice"
"178","lme4","nlme (≥ 3.1-123)"
"179","lme4","minqa (≥ 1.1.15)"
"180","lme4","nloptr (≥ 1.0.4)"
"181","MasterBayes","methods"
"182","MasterBayes","stats"
"183","matchingMarkets","Rcpp (≥ 0.12.12)"
"184","matchingMarkets","RcppProgress (≥ 0.2)"
"185","matchingMarkets","rJava"
"186","matchingMarkets","lpSolve"
"187","matchingMarkets","lattice"
"188","matchingMarkets","partitions"
"189","matchingMarkets","parallel"
"190","matchingMarkets","stats"
"191","matchingMarkets","utils"
"192","MCMCglmm","corpcor"
"193","MCMCglmm","tensorA"
"194","MCMCglmm","cubature"
"195","MCMCglmm","methods"
"196","MCMCvis","coda"
"197","MCMCvis","rstan"
"198","MCMCvis","grDevices"
"199","MCMCvis","graphics"
"200","MCMCvis","stats"
"201","MCMCvis","overlapping"
"202","mgcv","methods"
"203","mgcv","stats"
"204","mgcv","graphics"
"205","mgcv","Matrix"
"206","mombf","mclust"
"207","mombf","survival"
"208","monomvn","quadprog"
"209","monomvn","mvtnorm"
"210","NetworkChange","ggplot2"
"211","NetworkChange","Rmpfr"
"212","NetworkChange","abind"
"213","NetworkChange","mvtnorm"
"214","NetworkChange","grid"
"215","NetworkChange","LaplacesDemon"
"216","NetworkChange","MCMCpack"
"217","NetworkChange","stats"
"218","NetworkChange","MASS"
"219","NetworkChange","methods"
"220","NetworkChange","RColorBrewer"
"221","NetworkChange","ggvis"
"222","openEBGM","data.table (≥ 1.10.0)"
"223","openEBGM","ggplot2 (≥ 2.2.1)"
"224","openEBGM","stats (≥ 3.2.3)"
"225","PReMiuM","Rcpp (≥ 0.12.13)"
"226","PReMiuM","ggplot2 (≥ 2.2)"
"227","PReMiuM","cluster"
"228","PReMiuM","plotrix (≥
3.6-6)"
"229","PReMiuM","gamlss.dist (≥ 4.3-1)"
"230","PReMiuM","ald (≥ 1.1)"
"231","PReMiuM","data.table (≥
1.10.4-3)"
"232","PReMiuM","spdep (≥ 0.7-7)"
"233","PReMiuM","rgdal (≥ 1.3-3)"
"234","pscl","MASS"
"235","pscl","datasets"
"236","pscl","grDevices"
"237","pscl","graphics"
"238","pscl","stats"
"239","pscl","utils"
"240","R2BayesX","methods"
"241","R2jags","abind"
"242","R2jags","coda (≥ 0.13)"
"243","R2jags","graphics"
"244","R2jags","grDevices"
"245","R2jags","methods"
"246","R2jags","R2WinBUGS"
"247","R2jags","parallel"
"248","R2jags","stats"
"249","R2jags","utils"
"250","R2WinBUGS","utils"
"251","R2WinBUGS","stats"
"252","R2WinBUGS","graphics"
"253","ramps","fields"
"254","ramps","graphics"
"255","ramps","grDevices"
"256","ramps","methods"
"257","ramps","stats"
"258","revdbayes","bayesplot (≥ 1.1.0)"
"259","revdbayes","graphics"
"260","revdbayes","methods"
"261","revdbayes","Rcpp"
"262","revdbayes","rust (≥
1.2.2)"
"263","revdbayes","stats"
"264","revdbayes","utils"
"265","revdbayes","zoo"
"266","RSGHB","graphics"
"267","RSGHB","grDevices"
"268","RSGHB","stats"
"269","RSGHB","utils"
"270","RSGHB","graphics"
"271","RSGHB","grDevices"
"272","RSGHB","stats"
"273","RSGHB","utils"
"274","rstan","methods"
"275","rstan","stats4"
"276","rstan","inline"
"277","rstan","gridExtra (≥ 2.0.0)"
"278","rstan","Rcpp (≥
0.12.0)"
"279","runjags","parallel"
"280","runjags","lattice (≥ 0.20-10)"
"281","runjags","coda (≥ 0.17-1)"
"282","runjags","stats"
"283","runjags","utils"
"284","Runuran","methods"
"285","Runuran","stats"
"286","SamplerCompare","methods"
"287","SamplerCompare","mvtnorm"
"288","spikeSlabGAM","akima"
"289","spikeSlabGAM","coda"
"290","spikeSlabGAM","cluster"
"291","spikeSlabGAM","ggplot2 (≥ 2.0.0)"
"292","spikeSlabGAM","gridExtra (≥
2.0.0)"
"293","spikeSlabGAM","MASS"
"294","spikeSlabGAM","MCMCpack"
"295","spikeSlabGAM","mvtnorm"
"296","spikeSlabGAM","R2WinBUGS"
"297","spikeSlabGAM","reshape"
"298","spikeSlabGAM","scales"
"299","spikeSlabGAM","splines"
"300","spikeSlabGAM","parallel"
"301","spTimer","coda"
"302","spTimer","sp"
"303","spTimer","spacetime"
"304","spTimer","extraDistr"
"305","spTimer","grDevices"
"306","spTimer","graphics"
"307","spTimer","stats"
"308","spTimer","utils"
"309","ssgraph","Matrix"
"310","ssgraph","igraph"
"311","stochvol","Rcpp (≥ 0.11)"
"312","stochvol","methods"
"313","stochvol","stats"
"314","stochvol","graphics"
"315","stochvol","utils"
"316","tgp","maptree"
"317","tRophicPosition","coda"
"318","tRophicPosition","data.table"
"319","tRophicPosition","ggplot2"
"320","tRophicPosition","gridExtra"
"321","tRophicPosition","hdrcde"
"322","tRophicPosition","MCMCglmm"
"323","tRophicPosition","plyr"
"324","tRophicPosition","rjags"
"325","tRophicPosition","stats"
"326","tRophicPosition","ArgumentCheck"
"327","zic","Rcpp (≥ 0.11.0)"
"328","zic","coda (≥ 0.14-2)"
