"","Package","ReverseSuggests"
"109","gmodels","Sleuth3"
"110","gmodels","vcdExtra"
"111","gnm","agridat"
"112","gnm","Cyclops"
"113","gnm","PlackettLuce"
"114","gnm","profileModel"
"115","gss","mlt.docreg"
"116","gss","quantregForest"
"117","latentnet","ergm"
"118","latentnet","statnet"
"119","leaps","car"
"120","leaps","ChemometricsWithR"
"121","leaps","DAAG"
"122","leaps","ElemStatLearn"
"123","leaps","fscaret"
"124","leaps","gamclass"
"125","leaps","glmulti"
"126","leaps","Rcmdr"
"127","leaps","RcmdrPlugin.NMBU"
"128","leaps","SenSrivastava"
"129","leaps","Sleuth2"
"130","leaps","Sleuth3"
"131","leaps","STPGA"
"132","locfit","DAAGbio"
"133","locfit","kaps"
"134","locfit","mFilter"
"135","locfit","peperr"
"136","locfit","reldist"
"137","locfit","spatstat"
"138","Matching","cobalt"
"139","Matching","DeclareDesign"
"140","Matching","tableone"
"141","MatchIt","cobalt"
"142","MatchIt","table1"
"143","mitools","hot.deck"
"144","mitools","lavaan.survey"
"145","mitools","medflex"
"146","mitools","mice"
"147","mitools","MImix"
"148","mitools","pan"
"149","mitools","Publish"
"150","mitools","R2MLwiN"
"151","mitools","smcfcs"
"152","mitools","survey"
"153","mix","mclust"
"154","mlogit","AER"
"155","mlogit","catdata"
"156","mlogit","catspec"
"157","mlogit","flexmix"
"158","mlogit","generalhoslem"
"159","mlogit","McSpatial"
"160","mlogit","mlogitBMA"
"161","mlogit","nonnest2"
"162","mlogit","WeightIt"
"163","MNP","WeightIt"
"164","multgee","SimCorMultRes"
"165","mvnmle","BaylorEdPsych"
"166","network","amen"
"167","network","broom"
"168","network","chorrrds"
"169","network","GGally"
"170","network","GGMselect"
"171","network","ggraph"
"172","network","pulsar"
"173","network","QuantNorm"
"174","network","RGraphics"
"175","network","RSiena"
"176","network","sand"
"177","network","sparsebnUtils"
"178","network","sspse"
"179","network","texreg"
"180","network","tidygraph"
"181","network","vagalumeR"
"182","nlstools","FSA"
"183","nlstools","nls.multstart"
"184","nlstools","nls2"
"185","nlstools","plantecophys"
"186","norm","BaBooN"
"187","norm","MissingDataGUI"
"188","norm","simputation"
"189","np","AER"
"190","np","BNSP"
"191","np","mlt.docreg"
"192","np","spaero"
"193","optmatch","approxmatch"
"194","optmatch","bigmatch"
"195","optmatch","cobalt"
"196","optmatch","DOS"
"197","optmatch","MatchIt"
"198","optmatch","MatchItSE"
"199","optmatch","matchMulti"
"200","optmatch","rcbalance"
"201","optmatch","rcbsubset"
"202","optmatch","RcmdrPlugin.EZR"
"203","optmatch","Zelig"
"204","pan","mice"
"205","pan","miceadds"
"206","perturb","tableplot"
"207","pscl","AER"
"208","pscl","agridat"
"209","pscl","AICcmodavg"
"210","pscl","catdata"
"211","pscl","fence"
"212","pscl","glmmTMB"
"213","pscl","glmulti"
"214","pscl","glmx"
"215","pscl","hnp"
"216","pscl","idealstan"
"217","pscl","lsmeans"
"218","pscl","nonnest2"
"219","pscl","paleofire"
"220","pscl","sandwich"
"221","pscl","scanstatistics"
"222","pscl","sjPlot"
"223","pscl","ZIM"
"224","qvcalc","catdata"
"225","RSiena","netdiffuseR"
"226","sm","caroline"
"227","sm","npsm"
"228","sm","rpanel"
"229","sm","Sim.DiffProc"
"230","sm","sirt"
"231","sm","spatstat"
"232","sm","tsDyn"
"233","sna","asnipe"
"234","sna","blockmodeling"
"235","sna","ChemoSpec"
"236","sna","equateIRT"
"237","sna","ergm"
"238","sna","GGally"
"239","sna","haplotypes"
"240","sna","HiveR"
"241","sna","MRPC"
"242","sna","MSG"
"243","sna","network"
"244","sna","pkggraph"
"245","sna","QuantNorm"
"246","sna","sand"
"247","sna","tsna"
"248","spatial","BiodiversityR"
"249","spatial","fMultivar"
"250","spatial","spatstat"
"251","statnet","multinets"
"252","statnet","rem"
"253","vcd","abd"
"254","vcd","agridat"
"255","vcd","archetypes"
"256","vcd","ca"
"257","vcd","coin"
"258","vcd","colorspace"
"259","vcd","fastR"
"260","vcd","fastR2"
"261","vcd","ggplotify"
"262","vcd","glmertree"
"263","vcd","HSAUR"
"264","vcd","HSAUR2"
"265","vcd","HSAUR3"
"266","vcd","Lahman"
"267","vcd","mosaic"
"268","vcd","movMF"
"269","vcd","party"
"270","vcd","partykit"
"271","vcd","pscl"
"272","vcd","RcmdrPlugin.NMBU"
"273","vcd","RcmdrPlugin.pointG"
"274","vcd","RcmdrPlugin.qual"
"275","vcd","REdaS"
"276","vcd","RGraphics"
"277","vcd","tableplot"
"278","vcd","UsingR"
"279","vcd","xgboost"
"280","VIM","micemd"
"281","VIM","simputation"
"282","Zelig","Amelia"
"283","Zelig","hot.deck"
"284","Zelig","mice"
"285","Zelig","sjlabelled"
"286","Zelig","sjPlot"
"287","Zelig","sjstats"
"288","Zelig","texreg"
