"","Package","PackageDescription","Author.","Depends.","In.views.","Maintainer.","Published.","Version.","Imports.","LinkingTo.","Suggests.","SystemRequirements.","URL.","BugReports.","Enhances.","Reverse.depends.","Reverse.imports.","Reverse.suggests.","Reverse.linking.to.","Reverse.enhances."
"41","bridgesampling","Provides functions for estimating marginal likelihoods, Bayes factors, posterior model probabilities, and normalizing constants in general, via different versions of bridge sampling (Meng & Wong, 1996, <http://www3.stat.sinica.edu.tw/statistica/j6n4/j6n43/j6n43.htm>).","Quentin F. Gronau  [aut, cre],
  Henrik Singmann  [aut],
  Jonathan J. Forster [ctb],
  Eric-Jan Wagenmakers [ths],
  The JASP Team [ctb],
  Jiqiang Guo [ctb],
  Jonah Gabry [ctb],
  Ben Goodrich [ctb],
  Kees Mulder [ctb]","R (≥ 3.0.0)","Bayesian","Quentin F. Gronau  <Quentin.F.Gronau at gmail.com>","2018-08-19","0.5-2","mvtnorm, Matrix, Brobdingnag, stringr, coda, parallel, scales, utils, methods",NA,"testthat, Rcpp, RcppEigen, R2jags, rjags, runjags, knitr, rmarkdown, R.rsp, BayesFactor, rstan, rstanarm, nimble, MCMCpack",NA,"https://github.com/quentingronau/bridgesampling",NA,NA,NA,"BAMBI, BayesianTools, brms",NA,NA,NA
"42","brms","Fit Bayesian generalized (non-)linear multivariate multilevel models using 'Stan' for full Bayesian inference. A wide range of distributions and link functions are supported, allowing users to fit – among others – linear, robust linear, count data, survival, response times, ordinal, zero-inflated, hurdle, and even self-defined mixture models all in a multilevel context. Further modeling options include non-linear and smooth terms, auto-correlation structures, censored data, meta-analytic standard errors, and quite a few more. In addition, all parameters of the response distribution can be predicted in order to perform distributional regression. Prior specifications are flexible and explicitly encourage users to apply prior distributions that actually reflect their beliefs. Model fit can easily be assessed and compared with posterior predictive checks and leave-one-out cross-validation. References: BÃ¼rkner (2017) <doi:10.18637/jss.v080.i01>; Carpenter et al. (2017) <doi:10.18637/jss.v076.i01>.","Paul-Christian BÃ¼rkner [aut, cre]","R (≥ 3.2.0), Rcpp (≥ 0.12.0), ggplot2 (≥ 2.0.0), methods","Bayesian","Paul-Christian BÃ¼rkner  <paul.buerkner at gmail.com>","2018-09-16","2.5.0","rstan (≥ 2.17.2), loo (≥ 2.0.0), Matrix (≥ 1.1.1), mgcv (≥
1.8-13), rstantools (≥ 1.3.0), bayesplot (≥ 1.5.0), shinystan (≥ 2.4.0), bridgesampling (≥ 0.3-0), matrixStats, nleqslv, nlme, coda, abind, stats, utils, parallel, grDevices, backports",NA,"testthat (≥ 0.9.1), RWiener, future, mice, spdep, mnormt, lme4, MCMCglmm, ape, arm, statmod, digest, R.rsp, knitr, rmarkdown",NA,"https://github.com/paul-buerkner/brms,
http://discourse.mc-stan.org","https://github.com/paul-buerkner/brms/issues",NA,"pollimetry","ESTER","broom, broom.mixed, emmeans, jtools, sjPlot, sjstats, tidybayes",NA,NA
"43","bsamGP","Contains functions to perform Bayesian inference using a spectral analysis of Gaussian process priors. Gaussian processes are represented with a Fourier series based on cosine basis functions. Currently the package includes parametric linear models, partial linear additive models with/without shape restrictions, generalized linear additive models with/without shape restrictions, and density estimation model. To maximize computational efficiency, the actual Markov chain Monte Carlo sampling for each model is done using codes written in FORTRAN 90. This software has been developed using funding supported by Basic Science Research Program through the National Research Foundation of Korea (NRF) funded by the Ministry of Education (no. NRF-2016R1D1A1B03932178 and no. NRF-2017R1D1A3B03035235).","Seongil Jo [aut, cre], 
    Taeryon Choi [aut], 
    Beomjo Park [aut, cre],
    Peter J. Lenk [ctb]",NA,"Bayesian","Beomjo Park  <beomjo at korea.ac.kr>","2018-06-15","1.2.1","MASS, ggplot2, gridExtra",NA,NA,NA,"http://statlab2.korea.ac.kr/software/bsamgp",NA,NA,NA,NA,NA,NA,NA
"44","bspec","Bayesian inference on the (discrete) power spectrum of time series.","Christian Roever",NA,"Bayesian, TimeSeries","Christian Roever  <christian.roever at med.uni-goettingen.de>","2015-04-30","1.5",NA,NA,NA,NA,NA,NA,NA,NA,"sazedR","psd",NA,NA
"45","bspmma","Some functions for nonparametric and semiparametric Bayesian models for random effects meta-analysis","Deborah Burr",NA,"Bayesian, MetaAnalysis","Deborah Burr  <burr at stat.ufl.edu>","2012-07-17","0.1-1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","BSquare","This package models the quantile process as a function of predictors.","Luke Smith & Brian Reich","quadprog, quantreg, VGAM","Bayesian","Luke Smith  <lukebrawleysmith at gmail.com>","2013-05-24","1.1",NA,NA,"survival",NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","bsts","Time series regression using dynamic linear models fit using MCMC. See Scott and Varian (2014) <doi:10.1504/IJMMNO.2014.059942>, among many other sources.","Steven L. Scott","BoomSpikeSlab (≥ 1.0.0), zoo, xts, Boom (≥ 0.8), R (≥ 3.3.1)","Bayesian, TimeSeries","Steven L. Scott  <steve.the.bayesian at gmail.com>","2018-05-07","0.8.0",NA,"Boom (≥ 0.8), BH (≥ 1.65.0)","testthat",NA,NA,NA,NA,"CausalImpact","cbar, TSstudio",NA,NA,NA
"48","BVS","The functions in this package focus on analyzing case-control association studies involving a group of genetic variants. In particular, we are interested in modeling the outcome variable as a function of a multivariate genetic profile using Bayesian model uncertainty and variable selection techniques. The package incorporates functions to analyze data sets involving common variants as well as extensions to model rare variants via the Bayesian Risk Index (BRI) as well as haplotypes. Finally, the package also allows the incorporation of external biological information to inform the marginal inclusion probabilities via the iBMU.","Melanie Quintana","MASS, msm, haplo.stats, R (≥ 2.14.0)","Bayesian","Melanie Quintana  <maw27.wilson at gmail.com>","2012-08-09","4.12.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","catnet","Structure learning and parameter estimation of discrete Bayesian networks using likelihood-based criteria. Exhaustive search for fixed node orders and stochastic search of optimal orders via simulated annealing algorithm are implemented.","Nikolay Balov, Peter Salzman","R (≥ 3.0.2)","Bayesian, gR","Nikolay Balov  <nhbalov at gmail.com>","2017-10-26","1.15.3","methods, stats, utils, graphics",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","coalescentMCMC","Flexible framework for coalescent analyses in R. It includes a main function running the MCMC algorithm, auxiliary functions for tree rearrangement, and some functions to compute population genetic parameters.","Emmanuel Paradis [aut, cre, cph]","ape, coda, lattice","Bayesian","Emmanuel Paradis  <Emmanuel.Paradis at ird.fr>","2015-03-03","0.4-1","Matrix, phangorn, stats",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","cudaBayesreg","Compute Unified Device Architecture (CUDA) is a software platform for massively parallel high-performance computing on NVIDIA GPUs. This package provides a CUDA implementation of a Bayesian multilevel model for the analysis of brain fMRI data. A fMRI data set consists of time series of volume data in 4D space. Typically, volumes are collected as slices of 64 x 64 voxels. Analysis of fMRI data often relies on fitting linear regression models at each voxel of the brain. The volume of the data to be processed, and the type of statistical analysis to perform in fMRI analysis, call for high-performance computing strategies. In this package, the CUDA programming model uses a separate thread for fitting a linear regression model at each voxel in parallel. The global statistical model implements a Gibbs Sampler for hierarchical linear models with a normal prior. This model has been proposed by Rossi, Allenby and McCulloch in ‘Bayesian Statistics and Marketing’, Chapter 3, and is referred to as ‘rhierLinearModel’ in the R-package bayesm. A notebook equipped with a NVIDIA ‘GeForce 8400M GS’ card having Compute Capability 1.1 has been used in the tests. The data sets used in the package's examples are available in the separate package cudaBayesregData.","Adelino Ferreira da Silva","R (≥ 3.0.0), cudaBayesregData, oro.nifti","Bayesian, HighPerformanceComputing, MedicalImaging","Adelino Ferreira da Silva  <afs at fct.unl.pt>","2015-01-07","0.3-16",NA,NA,NA,"nvcc (release >= 3.1) (NVIDIA Cuda Compiler
driver); Linux operating system; GNU make.","http://www.r-project.org",NA,NA,NA,NA,NA,NA,NA
"52","dclone","Low level functions for implementing maximum likelihood estimating procedures for complex models using data cloning and Bayesian Markov chain Monte Carlo methods as described in Solymos 2010 (R Journal 2(2):29–37). Sequential and parallel MCMC support for 'JAGS', 'WinBUGS' and 'OpenBUGS'.","Peter Solymos","R (≥ 2.15.1), coda (≥ 0.13), parallel, Matrix","Bayesian, HighPerformanceComputing, Optimization, gR","Peter Solymos  <solymos at ualberta.ca>","2018-02-26","2.2-0","methods, stats, rjags (≥ 4-4)",NA,"MASS, lattice, R2WinBUGS, R2OpenBUGS, BRugs, rlecuyer","none, one or more of JAGS (>= 3.0.0), WinBUGS (>=
1.4), OpenBUGS (>= 3.2.2)","https://groups.google.com/forum/#!forum/dclone-users,
http://datacloning.org","https://github.com/datacloning/dclone/issues",NA,"dcmle, PVAClone, sharx",NA,"detect",NA,NA
"53","deBInfer","A Bayesian framework for parameter inference in differential equations. This approach offers a rigorous methodology for parameter inference as well as modeling the link between unobservable model states and parameters, and observable quantities. Provides templates for the DE model, the observation model and data likelihood, and the model parameters and their prior distributions. A Markov chain Monte Carlo (MCMC) procedure processes these inputs to estimate the posterior distributions of the parameters and any derived quantities, including the model trajectories. Further functionality is provided to facilitate MCMC diagnostics and the visualisation of the posterior distributions of model parameters and trajectories.","Philipp H Boersch-Supan  [aut,
    cre],
  Leah R Johnson  [aut],
  Sadie J Ryan  [aut]","R (≥ 2.10), deSolve","Bayesian","Philipp H Boersch-Supan  <pboesu at gmail.com>","2018-04-18","0.4.2","truncdist, coda, RColorBrewer, MASS, stats, mvtnorm, graphics, grDevices, plyr, PBSddesolve, methods",NA,"testthat, knitr, rmarkdown, devtools, R.rsp, beanplot",NA,"https://github.com/pboesu/debinfer","https://github.com/pboesu/debinfer/issues",NA,NA,NA,NA,NA,NA
"54","dlm","Provides routines for Maximum likelihood, Kalman filtering and smoothing, and Bayesian analysis of Normal linear State Space models, also known as Dynamic Linear Models.","Giovanni Petris [aut, cre],
  Wally Gilks [ctb] (Author of original C code for ARMS)",NA,"Bayesian, Finance, TimeSeries","Giovanni Petris  <GPetris at uark.edu>","2018-06-13","1.1-5","stats, utils, methods, grDevices, graphics",NA,"MASS",NA,NA,NA,NA,NA,"BaM, ElastH","ggfortify, KFKSDS",NA,NA
"55","EbayesThresh","Empirical Bayes thresholding using the methods developed by I. M. Johnstone and B. W. Silverman. The basic problem is to estimate a mean vector given a vector of observations of the mean vector plus white noise, taking advantage of possible sparsity in the mean vector. Within a Bayesian formulation, the elements of the mean vector are modelled as having, independently, a distribution that is a mixture of an atom of probability at zero and a suitable heavy-tailed distribution. The mixing parameter can be estimated by a marginal maximum likelihood approach. This leads to an adaptive thresholding approach on the original data. Extensions of the basic method, in particular to wavelet thresholding, are also implemented within the package.","Bernard W. Silverman [aut],
  Ludger Evers [aut],
  Kan Xu [aut],
  Peter Carbonetto [aut, cre],
  Matthew Stephens [aut]",NA,"Bayesian","Peter Carbonetto  <peter.carbonetto at gmail.com>","2017-08-08","1.4-12","stats, wavethresh",NA,"testthat, knitr, rmarkdown, dplyr, ggplot2",NA,"https://github.com/stephenslab/EbayesThresh","https://github.com/stephenslab/EbayesThresh/issues",NA,"adlift, binhf, CVThresh, nlt, treethresh","icmm, POCRE",NA,NA,NA
"56","ebdbNet","Infer the adjacency matrix of a network from time course data using an empirical Bayes estimation procedure based on Dynamic Bayesian Networks.","Andrea Rau","R (≥ 2.8.1), igraph","Bayesian","Andrea Rau  <andrea.rau at inra.fr>","2016-11-21","1.2.5","graphics, stats",NA,"GeneNet",NA,"http://github.com/andreamrau/ebdbNet",NA,NA,NA,NA,NA,NA,NA
"57","eco","Implements the Bayesian and likelihood methods proposed in Imai, Lu, and Strauss (2008 <doi:10.1093/pan/mpm017>) and (2011 <doi:10.18637/jss.v042.i05>) for ecological inference in 2 by 2 tables as well as the method of bounds introduced by Duncan and Davis (1953). The package fits both parametric and nonparametric models using either the Expectation-Maximization algorithms (for likelihood models) or the Markov chain Monte Carlo algorithms (for Bayesian models). For all models, the individual-level data can be directly incorporated into the estimation whenever such data are available. Along with in-sample and out-of-sample predictions, the package also provides a functionality which allows one to quantify the effect of data aggregation on parameter estimation and hypothesis testing under the parametric likelihood models.","Kosuke Imai [aut],
  Ying Lu [aut, cre],
  Aaron Strauss [aut],
  Hubert Jin [ctb]","R (≥ 2.0), MASS, utils","Bayesian, Environmetrics","Ying Lu  <ying.lu at nyu.edu>","2017-08-01","4.0-1",NA,NA,NA,NA,"https://github.com/kosukeimai/eco","https://github.com/kosukeimai/eco/issues",NA,NA,NA,NA,NA,NA
"58","eigenmodel","Estimation of the parameters in a model for symmetric relational data (e.g., the above-diagonal part of a square matrix), using a model-based eigenvalue decomposition and regression. Missing data is accommodated, and a posterior mean for missing data is calculated under the assumption that the data are missing at random. The marginal distribution of the relational data can be arbitrary, and is fit with an ordered probit specification. See Hoff (2007) <arXiv:0711.1146> for details on the model.","Peter Hoff",NA,"Bayesian","Peter Hoff  <peter.hoff at duke.edu>","2018-06-03","1.10",NA,NA,NA,NA,"https://pdhoff.github.io/",NA,NA,NA,"networktools","sand",NA,NA
"59","ensembleBMA","Bayesian Model Averaging to create probabilistic forecasts from ensemble forecasts and weather observations.","Chris Fraley, Adrian E. Raftery, J. McLean Sloughter, Tilmann
        Gneiting, University of Washington.","R (≥ 2.10), chron","Bayesian, TimeSeries","Chris Fraley  <fraley at u.washington.edu>","2018-01-18","5.1.5",NA,NA,"fields, maps",NA,NA,NA,NA,"ensembleMOS",NA,"ensemblepp",NA,NA
"60","evdbayes","Provides functions for the bayesian analysis of extreme value models, using MCMC methods.","Alec Stephenson and Mathieu Ribatet.","R (≥ 1.8.0)","Bayesian, Distributions, Environmetrics, ExtremeValue","Mathieu Ribatet  <mathieu.ribatet at univ-montp2.fr>","2014-03-31","1.1-1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"revdbayes",NA,NA
"61","exactLoglinTest","Monte Carlo and MCMC goodness of fit tests for log-linear models","Brian Caffo","R (≥ 1.5)","Bayesian, SocialSciences","Brian Caffo  <bcaffo at gmail.com>","2013-02-05","1.4.2",NA,NA,"stats",NA,"http://www.bcaffo.com",NA,NA,NA,NA,NA,NA,NA
"62","factorQR","Package to fit Bayesian quantile regression models that assume a factor structure for at least part of the design matrix.","Lane Burgette,","R (≥ 2.1), lattice","Bayesian","Lane Burgette  <lb131 at stat.duke.edu>","2010-09-29","0.1-4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","FME","Provides functions to help in fitting models to data, to perform Monte Carlo, sensitivity and identifiability analysis. It is intended to work with models be written as a set of differential equations that are solved either by an integration routine from package 'deSolve', or a steady-state solver from package 'rootSolve'. However, the methods can also be used with other types of functions.","Karline Soetaert,
        Thomas Petzoldt","R (≥ 2.6), deSolve, rootSolve, coda","Bayesian, DifferentialEquations","Karline Soetaert  <karline.soetaert at nioz.nl>","2016-09-09","1.3.5","minpack.lm, MASS, graphics, grDevices, stats, utils, minqa",NA,"diagram",NA,NA,NA,NA,"BCE, phytotools","bioinactivation, bioOED, capm, growthrates, mkin","airGR, simecol, SoilR",NA,NA
"64","geoR","Geostatistical analysis including traditional, likelihood-based and Bayesian methods.","Paulo J. Ribeiro Jr and
        Peter J. Diggle","R (≥ 2.10), stats, methods","Bayesian, Distributions, Spatial","Paulo J. Ribeiro Jr  <paulojus at ufpr.br>","2018-07-29","1.7-5.2.1","MASS, sp, splancs, RandomFields, graphics",NA,"scatterplot3d, lattice, tcltk, geoRglm",NA,"http://www.leg.ufpr.br/geoR",NA,NA,"aqfig, FeedbackTS, geofd, geoRglm, geotoolsR, lmenssp, LS2Wstat, PrevMap, StatDA","CensSpatial, convoSPAT, eefAnalytics, gcmr, reportRx, scpm, spTest, SubgrPlots, TED, UncerIn2, variosig, windfarmGA","bamlss, gamair, gear, geoBayes, georob, ipdw, npsp, pedometrics, prevR, RandomFields, rpanel, simba, spBayes",NA,"geostatsp"
"65","geoRglm","Functions for inference in generalised linear spatial models. The posterior and predictive inference is based on Markov chain Monte Carlo methods. Package geoRglm is an extension to the package geoR, which must be installed first.","Ole F. Christensen [aut, cre],
  Paulo J. Ribeiro Jr [aut]","R (≥ 3.0.0), geoR (≥ 1.7-5), stats","Bayesian, Spatial","Ole F. Christensen  <OleF.Christensen at mbg.au.dk>","2017-10-18","0.9-11","sp",NA,"coda",NA,"http://gbi.agrsci.dk/~ofch/geoRglm",NA,NA,NA,NA,"geoR",NA,"glmmBUGS"
"66","ggmcmc","Tools for assessing and diagnosing convergence of Markov Chain Monte Carlo simulations, as well as for graphically display results from full MCMC analysis. The package also facilitates the graphical interpretation of models by providing flexible functions to plot the results against observed variables.","Xavier FernÃ¡ndez i MarÃ­n","dplyr (≥ 0.5.0), tidyr (≥ 0.5.1), ggplot2","Bayesian","Xavier FernÃ¡ndez i MarÃ­n  <xavier.fim at gmail.com>","2016-06-28","1.1","GGally (≥ 1.1.0)",NA,"coda, rstan (≥ 2.10.1), knitr, rmarkdown, ggthemes, gridExtra, Cairo, extrafont",NA,"http://xavier-fim.net/packages/ggmcmc,
https://github.com/xfim/ggmcmc","https://github.com/xfim/ggmcmc/issues",NA,NA,"dalmatian, ggdmc, MixSIAR","airGR, crmPack, ltbayes",NA,NA
"67","glmmBUGS","Automates running Generalised Linear Mixed Models, including spatial models, with WinBUGS, OpenBUGS and JAGS. Models are specified with formulas, with the package writings model files, arranging unbalanced data in ragged arrays, and creating starting values. The model is re-parameterized, and functions are provided for converting model outputs to the original parameterization.","Patrick Brown, Lutong Zhou","R (≥ 3.0.0)","Bayesian, Spatial","Patrick Brown  <patrick.brown at utoronto.ca>","2018-05-01","2.4.2","abind, methods, MASS, sp, graphics, stats",NA,"spdep","Compiling vignette requires JAGS
(http://mcmc-jags.sourceforge.net) and OpenBUGS (>= 3.2.2)
(http://www.openbugs.net)",NA,NA,"nlme, diseasemapping, geoRglm, R2WinBUGS, R2OpenBUGS, R2jags, rjags",NA,NA,NA,NA,NA
"68","gRain","Probability propagation in graphical independence networks, also known as Bayesian networks or probabilistic expert systems.","SÃ¸ren HÃ¸jsgaard","R (≥ 3.0.2), methods, gRbase (≥ 1.7-2)","Bayesian, gR","SÃ¸ren HÃ¸jsgaard  <sorenh at math.aau.dk>","2016-10-17","1.3-0","igraph, graph, magrittr, functional, Rcpp (≥ 0.11.1)","Rcpp (≥ 0.11.1), RcppArmadillo, RcppEigen, gRbase (≥
1.8-0)","Rgraphviz, microbenchmark",NA,"http://people.math.aau.dk/~sorenh/software/gR/",NA,NA,"geneNetBP","bnspatial, gRim","bnclassify, bnlearn",NA,NA
"69","growcurves","Employs a non-parametric formulation for by-subject random effect parameters to borrow strength over a constrained number of repeated measurement waves in a fashion that permits multiple effects per subject. One class of models employs a Dirichlet process (DP) prior for the subject random effects and includes an additional set of random effects that utilize a different grouping factor and are mapped back to clients through a multiple membership weight matrix; e.g. treatment(s) exposure or dosage. A second class of models employs a dependent DP (DDP) prior for the subject random effects that directly incorporates the multiple membership pattern.","Terrance Savitsky","R (≥ 3.2.2), Rcpp (≥ 0.11.6)","Bayesian","Terrance Savitsky  <tds151 at gmail.com>","2016-12-21","0.2.4.1","reshape2 (≥ 1.2.1), Formula (≥ 1.0-0), ggplot2 (≥ 1.0.1)","Rcpp (≥ 0.11.6), RcppArmadillo (≥ 0.5.000)","testthat (≥ 0.9.1)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","hbsae","Functions to compute small area estimates based on a basic area or unit-level model. The model is fit using restricted maximum likelihood, or in a hierarchical Bayesian way. In the latter case numerical integration is used to average over the posterior density for the between-area variance. The output includes the model fit, small area estimates and corresponding MSEs, as well as some model selection measures. Additional functions provide means to compute aggregate estimates and MSEs, to minimally adjust the small area estimates to benchmarks at a higher aggregation level, and to graphically compare different sets of small area estimates.","Harm Jan Boonstra","R (≥ 2.10)","Bayesian, OfficialStatistics","Harm Jan Boonstra  <hjboonstra at gmail.com>","2012-09-05","1.0","Matrix, arm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","HI","Simulation from distributions supported by nested hyperplanes, using the algorithm described in Petris & Tardella, ""A geometric approach to transdimensional Markov chain Monte Carlo"", Canadian Journal of Statistics, v.31, n.4, (2003). Also random direction multivariate Adaptive Rejection Metropolis Sampling.","Giovanni Petris and Luca Tardella; original C code for ARMS by Wally
        Gilks.","R (≥ 1.7.0)","Bayesian, Distributions","Giovanni Petris  <GPetris at Uark.edu>","2013-03-26","0.4",NA,NA,NA,NA,NA,NA,NA,"BBRecapture, ICBayes","MfUSampler, ReliabilityTheory, VARsignR",NA,NA,NA
"72","Hmisc","Contains many functions useful for data analysis, high-level graphics, utility operations, functions for computing sample size and power, importing and annotating datasets, imputing missing values, advanced table making, variable clustering, character string manipulation, conversion of R objects to LaTeX and html code, and recoding variables.","Frank E Harrell Jr, with
  contributions from Charles Dupont and many others.","lattice, survival (≥ 2.40-1), Formula, ggplot2 (≥ 2.2)","Bayesian, ClinicalTrials, Econometrics, Multivariate, OfficialStatistics, ReproducibleResearch, SocialSciences","Frank E Harrell Jr  <f.harrell at vanderbilt.edu>","2018-01-03","4.1-1","methods, latticeExtra, cluster, rpart, nnet, acepack, foreign, gtable, grid, gridExtra, data.table, htmlTable (≥ 1.11.0), viridis, htmltools, base64enc",NA,"chron, rms, mice, tables, knitr, ff, ffbase, plotly (≥
4.5.6)",NA,"http://biostat.mc.vanderbilt.edu/Hmisc,
https://github.com/harrelfe/Hmisc",NA,NA,"abctools, acid, anesrake, aspace, cg, colorscience, compareGroups, EBMAforecast, ENmisc, EstCRM, etable, FRESA.CAD, FunCluster, funModeling, greport, greyzoneSurv, gset, ImportExport, LifeHist, mapReasy, MEET, nonparaeff, poolVIM, PredictABEL, PRIMsrc, prLogistic, pse, RcmdrPlugin.Export, RcmdrPlugin.mosaic, RHMS, RM.weights, rms, Scale, tables, testforDEP, univOutl, uqr, UsingR, weights, WRSS","aqp, AROC, atable, automultinomial, BaBooN, bdynsys, brainGraph, CAinterprTools, CANSIM2R, caschrono, CATkit, choroplethr, CluMix, Compind, contrast, cosinor2, Counterfactual, CsChange, cultevo, datacheck, datadigest, DeducerSpatial, define, diceR, DiffNet, dineq, drLumi, ExPanDaR, fdapace, FedData, finalfit, FRK, ggquickeda, GmAMisc, Gmisc, Greg, hddtools, heuristica, HH, HistogramTools, hydroPSO, IIS, imageData, intsvy, IPSUR, JMbayes, kehra, lazyWeave, LEGIT, lilikoi, linkspotter, LSAmitR, mapStats, MatchLinReg, matchMulti, maxadjAUC, mediation, mgm, microplot, momr, Mqrcm, MRPC, muHVT, multiselect, nbpMatching, ndl, NetLogoR, NetOrigin, neuropsychology, nhanesA, nlrr, NSM3, otvPlots, pcgen, PerFit, peRiodiCS, plotluck, poliscidata, polyPK, progenyClust, PSW, qgraph, qte, rags2ridges, RcmdrMisc, RDS, reldist, RPPanalyzer, SASxport, sbpiper, scape, scRNAtools, SDD, SensMixed, Seurat, sharpshootR, smacof, soilDB, spsurvey, stacomiR, stocks, strat, strataG, survivalsvm, SvyNom, tigerhitteR, TopKLists, TraMineR, TropFishR, VIMGUI, visualFields, vosonSML, VRPM, VTrack, WGCNA, wppExplorer, wux, x12GUI, xkcd, xpose4","abd, AnaCoDa, ascii, asVPC, BB, bbmle, bfp, BIFIEsurvey, biomod2, broom, causaldrf, CFC, Deducer, dtwSat, ecotox, emil, epade, fastR, fastR2, fscaret, ggplot2, ggstance, GMCM, GSIF, hdnom, heemod, horseshoe, htmlTable, kamila, kyotil, labelVector, languageR, lulcc, MARSS, MissingDataGUI, mlr, mlrCPO, naniar, nlme, nLTT, pec, PerformanceAnalytics, planar, plotKML, polymapR, PopED, PSCBS, rattle, Rcmdr, RcmdrPlugin.pointG, rex, RGraphics, rknn, Rmisc, rockchalk, separationplot, simsalapar, sjlabelled, Sleuth3, SmartEDA, smcUtils, StatMatch, subsemble, tangram, TCGAretriever, umx, wdm, nlme",NA,"dendextend"
"73","iterLap","The iterLap (iterated Laplace approximation) algorithm approximates a general (possibly non-normalized) probability density on R^p, by repeated Laplace approximations to the difference between current approximation and true density (on log scale). The final approximation is a mixture of multivariate normal distributions and might be used for example as a proposal distribution for importance sampling (eg in Bayesian applications). The algorithm can be seen as a computational generalization of the Laplace approximation suitable for skew or multimodal densities.","Bjoern Bornkamp","quadprog, randtoolbox, parallel, R (≥ 2.15)","Bayesian","Bjoern Bornkamp  <bbnkmp at gmail.com>","2017-08-05","1.1-3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","LaplacesDemon","Provides a complete environment for Bayesian inference using a variety of different samplers (see ?LaplacesDemon for an overview). The README describes the history of the package development process.","Byron Hall [aut],
  Martina Hall [aut],
  Statisticat, LLC [aut],
  Eric Brown [ctb],
  Richard Hermanson [ctb],
  Emmanuel Charpentier [ctb],
  Daniel Heck [ctb],
  Stephane Laurent [ctb],
  Quentin F. Gronau [ctb],
  Henrik Singmann [cre]","R (≥ 3.0.0)","Bayesian, Distributions","Henrik Singmann  <singmann+LaplacesDemon at gmail.com>","2018-06-30","16.1.1","parallel, grDevices, graphics, stats, utils",NA,"KernSmooth",NA,"https://github.com/LaplacesDemonR/LaplacesDemon","https://github.com/LaplacesDemonR/LaplacesDemon/issues",NA,"BayesESS, hyper.fit","bgsmtr, evidence, metaBMA, momentuHMM, NetworkChange, ProFit, sbart, sklarsomega, tidybayes","extraDistr, ProFound",NA,NA
"75","LearnBayes","A collection of functions helpful in learning the basic tenets of Bayesian statistical inference. It contains functions for summarizing basic one and two parameter posterior distributions and predictive distributions. It contains MCMC algorithms for summarizing posterior distributions defined by the user. It also contains functions for regression models, hierarchical models, Bayesian tests, and illustrations of Gibbs sampling.","Jim Albert",NA,"Bayesian, Distributions, Survival","Jim Albert  <albert at bgsu.edu>","2018-03-18","2.15.1",NA,NA,NA,NA,NA,NA,NA,"bayeslongitudinal, psbcGroup, TeachBayes","cancerTiming, evidence, RSSampling, spdep","mistat",NA,NA
