"","Package","PackageDescription","Author.","Citation.","CRAN.checks.","Depends.","In.views.","License.","Maintainer.","NeedsCompilation.","Published.","Version.","Imports.","LinkingTo.","Materials.","Suggests.","SystemRequirements.","URL.","BugReports.","Copyright.","Enhances.","Contact.","Priority.","Reverse.depends.","Reverse.imports.","Reverse.suggests.","Reverse.linking.to.","Reverse.enhances."
"35","BMS","Bayesian model averaging for linear models with a wide choice of (customizable) priors. Built-in priors include coefficient priors (fixed, flexible and hyper-g priors), 5 kinds of model priors, moreover model sampling by enumeration or various MCMC approaches. Post-processing functions allow for inferring posterior inclusion and model probabilities, various moments, coefficient and predictive densities. Plotting functions available for posterior model size, MCMC convergence, predictive and coefficient densities, best models representation, BMA comparison.","Martin Feldkircher and Stefan Zeugner","BMS citation info","BMS results","R (≥ 2.5)","Bayesian, Econometrics","Artistic-2.0","Stefan Zeugner  <bms at zeugner.eu>","no","2015-11-24","0.3.4","graphics, methods, stats",NA,"NEWS",NA,NA,"http://bms.zeugner.eu/",NA,NA,NA,NA,NA,NA,"conting, mvMonitoring, TBSSurvival","highfrequency",NA,NA
"36","bnlearn","Bayesian network structure learning, parameter learning and inference. This package implements constraint-based (PC, GS, IAMB, Inter-IAMB, Fast-IAMB, MMPC, Hiton-PC), pairwise (ARACNE and Chow-Liu), score-based (Hill-Climbing and Tabu Search) and hybrid (MMHC and RSMAX2) structure learning algorithms for discrete, Gaussian and conditional Gaussian networks, along with many score functions and conditional independence tests. The Naive Bayes and the Tree-Augmented Naive Bayes (TAN) classifiers are also implemented. Some utility functions (model comparison and manipulation, random data generation, arc orientation testing, simple and advanced plots) are included, as well as support for parameter estimation (maximum likelihood and Bayesian) and inference, conditional probability queries and cross-validation. Development snapshots with the latest bugfixes are available from <http://www.bnlearn.com>.","Marco Scutari [aut, cre], Robert Ness [ctb]","bnlearn citation info","bnlearn results","R (≥ 2.14.0), methods","Bayesian, HighPerformanceComputing, gR","GPL-2 | GPL-3 [expanded from: GPL (≥ 2)]","Marco Scutari  <marco.scutari at gmail.com>","yes","2018-01-15","4.3",NA,NA,"ChangeLog","parallel, graph, Rgraphviz, lattice, gRain, ROCR, Rmpfr, gmp",NA,"http://www.bnlearn.com/",NA,NA,NA,NA,NA,"BNSL, geneNetBP","BayesianNetwork, BayesNetBP, bnviewer, CovSelHigh, imbalance, miic, MoTBFs, MRPC, SELF","BNDataGenerator, BTR, CompareCausalNetworks, OGI, ParallelPC, rbmn, sparsebnUtils",NA,NA
"37","Bolstad","A set of R functions and data sets for the book Introduction to Bayesian Statistics, Bolstad, W.M. (2017), John Wiley & Sons ISBN 978-1-118-09156-2.","James Curran [aut, cre]","Bolstad citation info","Bolstad results","R (≥ 3.2.0)","Bayesian","GPL-2 | GPL-3 [expanded from: GPL (≥ 2)]","James Curran  <j.curran at auckland.ac.nz>","no","2018-08-29","0.2-39","mvtnorm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","Boom","A C++ library for Bayesian modeling, with an emphasis on Markov chain Monte Carlo. Although boom contains a few R utilities (mainly plotting functions), its primary purpose is to install the BOOM C++ library on your system so that other packages can link against it.","Steven L. Scott is the sole author and creator of the BOOM project.
   Some code in the BOOM libraries has been modified from other open source
   projects.  These include Cephes (obtained from Netlib, written by Stephen
   L. Moshier), NEWUOA (M.J.D Powell, obtained from Powell's web site), and a
   modified version of the R math libraries (R core development team).  Original
   copyright notices have been maintained in all source files.  In these cases,
   copyright claimed by Steven L. Scott is limited to modifications made to the
   original code.  Google claims copyright for code written while Steven
   L. Scott was employed at Google from 2008 - 2018, but BOOM is not an
   officially supported Google project.",NA,"Boom results","MASS, R (≥ 3.1.0)","Bayesian","LGPL-2.1 | file LICENSE","Steven L. Scott  <steve.the.bayesian at gmail.com>","yes","2018-04-29","0.8",NA,"BH (≥ 1.65.0), RcppEigen (≥ 0.3.3.4.0)",NA,NA,"GNU Make, C++11",NA,NA,NA,NA,NA,NA,"BoomSpikeSlab, bsts","CausalImpact, cbar",NA,"bsts",NA
"39","BoomSpikeSlab","Spike and slab regression a la McCulloch and George (1997).","Steven L. Scott",NA,"BoomSpikeSlab results","Boom (≥ 0.8) , R (≥ 3.1.0)","Bayesian","LGPL-2.1 | file LICENSE","Steven L. Scott  <steve.the.bayesian at gmail.com>","yes","2018-04-30","1.0.0",NA,"BH (≥ 1.65.0)",NA,"MASS, testthat",NA,NA,NA,NA,NA,NA,NA,"bsts",NA,NA,NA,NA
"40","bqtl","QTL mapping toolkit for inbred crosses and recombinant inbred lines. Includes maximum likelihood and Bayesian tools.","Charles C. Berry",NA,"bqtl results","R (≥ 2.6.0)","Bayesian, Genetics","GPL-2 | GPL-3 [expanded from: GPL (≥ 2)]","Charles C. Berry  <cberry at ucsd.edu>","yes","2016-01-29","1.0-32",NA,NA,NA,NA,NA,"http://famprevmed.ucsd.edu/faculty/cberry/bqtl/",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","bridgesampling","Provides functions for estimating marginal likelihoods, Bayes factors, posterior model probabilities, and normalizing constants in general, via different versions of bridge sampling (Meng & Wong, 1996, <http://www3.stat.sinica.edu.tw/statistica/j6n4/j6n43/j6n43.htm>).","Quentin F. Gronau  [aut, cre],
  Henrik Singmann  [aut],
  Jonathan J. Forster [ctb],
  Eric-Jan Wagenmakers [ths],
  The JASP Team [ctb],
  Jiqiang Guo [ctb],
  Jonah Gabry [ctb],
  Ben Goodrich [ctb],
  Kees Mulder [ctb]",NA,"bridgesampling results","R (≥ 3.0.0)","Bayesian","GPL-2 | GPL-3 [expanded from: GPL (≥ 2)]","Quentin F. Gronau  <Quentin.F.Gronau at gmail.com>","no","2018-08-19","0.5-2","mvtnorm, Matrix, Brobdingnag, stringr, coda, parallel, scales, utils, methods",NA,"NEWS","testthat, Rcpp, RcppEigen, R2jags, rjags, runjags, knitr, rmarkdown, R.rsp, BayesFactor, rstan, rstanarm, nimble, MCMCpack",NA,"https://github.com/quentingronau/bridgesampling",NA,NA,NA,NA,NA,NA,"BAMBI, BayesianTools, brms",NA,NA,NA
"42","brms","Fit Bayesian generalized (non-)linear multivariate multilevel models using 'Stan' for full Bayesian inference. A wide range of distributions and link functions are supported, allowing users to fit – among others – linear, robust linear, count data, survival, response times, ordinal, zero-inflated, hurdle, and even self-defined mixture models all in a multilevel context. Further modeling options include non-linear and smooth terms, auto-correlation structures, censored data, meta-analytic standard errors, and quite a few more. In addition, all parameters of the response distribution can be predicted in order to perform distributional regression. Prior specifications are flexible and explicitly encourage users to apply prior distributions that actually reflect their beliefs. Model fit can easily be assessed and compared with posterior predictive checks and leave-one-out cross-validation. References: BÃ¼rkner (2017) <doi:10.18637/jss.v080.i01>; Carpenter et al. (2017) <doi:10.18637/jss.v076.i01>.","Paul-Christian BÃ¼rkner [aut, cre]","brms citation info","brms results","R (≥ 3.2.0), Rcpp (≥ 0.12.0), ggplot2 (≥ 2.0.0), methods","Bayesian","GPL (≥ 3)","Paul-Christian BÃ¼rkner  <paul.buerkner at gmail.com>","no","2018-09-16","2.5.0","rstan (≥ 2.17.2), loo (≥ 2.0.0), Matrix (≥ 1.1.1), mgcv (≥
1.8-13), rstantools (≥ 1.3.0), bayesplot (≥ 1.5.0), shinystan (≥ 2.4.0), bridgesampling (≥ 0.3-0), matrixStats, nleqslv, nlme, coda, abind, stats, utils, parallel, grDevices, backports",NA,"README NEWS","testthat (≥ 0.9.1), RWiener, future, mice, spdep, mnormt, lme4, MCMCglmm, ape, arm, statmod, digest, R.rsp, knitr, rmarkdown",NA,"https://github.com/paul-buerkner/brms,
http://discourse.mc-stan.org","https://github.com/paul-buerkner/brms/issues",NA,NA,NA,NA,"pollimetry","ESTER","broom, broom.mixed, emmeans, jtools, sjPlot, sjstats, tidybayes",NA,NA
"43","bsamGP","Contains functions to perform Bayesian inference using a spectral analysis of Gaussian process priors. Gaussian processes are represented with a Fourier series based on cosine basis functions. Currently the package includes parametric linear models, partial linear additive models with/without shape restrictions, generalized linear additive models with/without shape restrictions, and density estimation model. To maximize computational efficiency, the actual Markov chain Monte Carlo sampling for each model is done using codes written in FORTRAN 90. This software has been developed using funding supported by Basic Science Research Program through the National Research Foundation of Korea (NRF) funded by the Ministry of Education (no. NRF-2016R1D1A1B03932178 and no. NRF-2017R1D1A3B03035235).","Seongil Jo [aut, cre], 
    Taeryon Choi [aut], 
    Beomjo Park [aut, cre],
    Peter J. Lenk [ctb]",NA,"bsamGP results",NA,"Bayesian","GPL-2 | GPL-3 [expanded from: GPL (≥ 2)]","Beomjo Park  <beomjo at korea.ac.kr>","yes","2018-06-15","1.2.1","MASS, ggplot2, gridExtra",NA,"README",NA,NA,"http://statlab2.korea.ac.kr/software/bsamgp",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","bspec","Bayesian inference on the (discrete) power spectrum of time series.","Christian Roever","bspec citation info","bspec results",NA,"Bayesian, TimeSeries","GPL-2 | GPL-3 [expanded from: GPL (≥ 2)]","Christian Roever  <christian.roever at med.uni-goettingen.de>","no","2015-04-30","1.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"sazedR","psd",NA,NA
"45","bspmma","Some functions for nonparametric and semiparametric Bayesian models for random effects meta-analysis","Deborah Burr","bspmma citation info","bspmma results",NA,"Bayesian, MetaAnalysis","GPL-2","Deborah Burr  <burr at stat.ufl.edu>","no","2012-07-17","0.1-1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","BSquare","This package models the quantile process as a function of predictors.","Luke Smith & Brian Reich",NA,"BSquare results","quadprog, quantreg, VGAM","Bayesian","GPL-2 | GPL-3 [expanded from: GPL (≥ 2)]","Luke Smith  <lukebrawleysmith at gmail.com>","yes","2013-05-24","1.1",NA,NA,NA,"survival",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","bsts","Time series regression using dynamic linear models fit using MCMC. See Scott and Varian (2014) <doi:10.1504/IJMMNO.2014.059942>, among many other sources.","Steven L. Scott",NA,"bsts results","BoomSpikeSlab (≥ 1.0.0), zoo, xts, Boom (≥ 0.8), R (≥ 3.3.1)","Bayesian, TimeSeries","LGPL-2.1 | file LICENSE","Steven L. Scott  <steve.the.bayesian at gmail.com>","yes","2018-05-07","0.8.0",NA,"Boom (≥ 0.8), BH (≥ 1.65.0)",NA,"testthat",NA,NA,NA,NA,NA,NA,NA,"CausalImpact","cbar, TSstudio",NA,NA,NA
"48","BVS","The functions in this package focus on analyzing case-control association studies involving a group of genetic variants. In particular, we are interested in modeling the outcome variable as a function of a multivariate genetic profile using Bayesian model uncertainty and variable selection techniques. The package incorporates functions to analyze data sets involving common variants as well as extensions to model rare variants via the Bayesian Risk Index (BRI) as well as haplotypes. Finally, the package also allows the incorporation of external biological information to inform the marginal inclusion probabilities via the iBMU.","Melanie Quintana",NA,"BVS results","MASS, msm, haplo.stats, R (≥ 2.14.0)","Bayesian","Unlimited","Melanie Quintana  <maw27.wilson at gmail.com>","no","2012-08-09","4.12.1",NA,NA,"ChangeLog",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","catnet","Structure learning and parameter estimation of discrete Bayesian networks using likelihood-based criteria. Exhaustive search for fixed node orders and stochastic search of optimal orders via simulated annealing algorithm are implemented.","Nikolay Balov, Peter Salzman",NA,"catnet results","R (≥ 3.0.2)","Bayesian, gR","GPL-2 | GPL-3 [expanded from: GPL (≥ 2)]","Nikolay Balov  <nhbalov at gmail.com>","yes","2017-10-26","1.15.3","methods, stats, utils, graphics",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","coalescentMCMC","Flexible framework for coalescent analyses in R. It includes a main function running the MCMC algorithm, auxiliary functions for tree rearrangement, and some functions to compute population genetic parameters.","Emmanuel Paradis [aut, cre, cph]",NA,"coalescentMCMC results","ape, coda, lattice","Bayesian","GPL-2 | GPL-3 [expanded from: GPL (≥ 2)]","Emmanuel Paradis  <Emmanuel.Paradis at ird.fr>","yes","2015-03-03","0.4-1","Matrix, phangorn, stats",NA,"NEWS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","cudaBayesreg","Compute Unified Device Architecture (CUDA) is a software platform for massively parallel high-performance computing on NVIDIA GPUs. This package provides a CUDA implementation of a Bayesian multilevel model for the analysis of brain fMRI data. A fMRI data set consists of time series of volume data in 4D space. Typically, volumes are collected as slices of 64 x 64 voxels. Analysis of fMRI data often relies on fitting linear regression models at each voxel of the brain. The volume of the data to be processed, and the type of statistical analysis to perform in fMRI analysis, call for high-performance computing strategies. In this package, the CUDA programming model uses a separate thread for fitting a linear regression model at each voxel in parallel. The global statistical model implements a Gibbs Sampler for hierarchical linear models with a normal prior. This model has been proposed by Rossi, Allenby and McCulloch in ‘Bayesian Statistics and Marketing’, Chapter 3, and is referred to as ‘rhierLinearModel’ in the R-package bayesm. A notebook equipped with a NVIDIA ‘GeForce 8400M GS’ card having Compute Capability 1.1 has been used in the tests. The data sets used in the package's examples are available in the separate package cudaBayesregData.","Adelino Ferreira da Silva","cudaBayesreg citation info","cudaBayesreg results","R (≥ 3.0.0), cudaBayesregData, oro.nifti","Bayesian, HighPerformanceComputing, MedicalImaging","GPL-2 | GPL-3 [expanded from: GPL (≥ 2)]","Adelino Ferreira da Silva  <afs at fct.unl.pt>","yes","2015-01-07","0.3-16",NA,NA,"README NEWS",NA,"nvcc (release >= 3.1) (NVIDIA Cuda Compiler
driver); Linux operating system; GNU make.","http://www.r-project.org",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","dclone","Low level functions for implementing maximum likelihood estimating procedures for complex models using data cloning and Bayesian Markov chain Monte Carlo methods as described in Solymos 2010 (R Journal 2(2):29–37). Sequential and parallel MCMC support for 'JAGS', 'WinBUGS' and 'OpenBUGS'.","Peter Solymos","dclone citation info","dclone results","R (≥ 2.15.1), coda (≥ 0.13), parallel, Matrix","Bayesian, HighPerformanceComputing, Optimization, gR","GPL-2","Peter Solymos  <solymos at ualberta.ca>","no","2018-02-26","2.2-0","methods, stats, rjags (≥ 4-4)",NA,NA,"MASS, lattice, R2WinBUGS, R2OpenBUGS, BRugs, rlecuyer","none, one or more of JAGS (>= 3.0.0), WinBUGS (>=
1.4), OpenBUGS (>= 3.2.2)","https://groups.google.com/forum/#!forum/dclone-users,
http://datacloning.org","https://github.com/datacloning/dclone/issues",NA,NA,NA,NA,"dcmle, PVAClone, sharx",NA,"detect",NA,NA
"53","deBInfer","A Bayesian framework for parameter inference in differential equations. This approach offers a rigorous methodology for parameter inference as well as modeling the link between unobservable model states and parameters, and observable quantities. Provides templates for the DE model, the observation model and data likelihood, and the model parameters and their prior distributions. A Markov chain Monte Carlo (MCMC) procedure processes these inputs to estimate the posterior distributions of the parameters and any derived quantities, including the model trajectories. Further functionality is provided to facilitate MCMC diagnostics and the visualisation of the posterior distributions of model parameters and trajectories.","Philipp H Boersch-Supan  [aut,
    cre],
  Leah R Johnson  [aut],
  Sadie J Ryan  [aut]","deBInfer citation info","deBInfer results","R (≥ 2.10), deSolve","Bayesian","GPL-3","Philipp H Boersch-Supan  <pboesu at gmail.com>","no","2018-04-18","0.4.2","truncdist, coda, RColorBrewer, MASS, stats, mvtnorm, graphics, grDevices, plyr, PBSddesolve, methods",NA,"README","testthat, knitr, rmarkdown, devtools, R.rsp, beanplot",NA,"https://github.com/pboesu/debinfer","https://github.com/pboesu/debinfer/issues",NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","dlm","Provides routines for Maximum likelihood, Kalman filtering and smoothing, and Bayesian analysis of Normal linear State Space models, also known as Dynamic Linear Models.","Giovanni Petris [aut, cre],
  Wally Gilks [ctb] (Author of original C code for ARMS)","dlm citation info","dlm results",NA,"Bayesian, Finance, TimeSeries","GPL-2 | GPL-3 [expanded from: GPL (≥ 2)]","Giovanni Petris  <GPetris at uark.edu>","yes","2018-06-13","1.1-5","stats, utils, methods, grDevices, graphics",NA,"README NEWS","MASS",NA,NA,NA,NA,NA,NA,NA,NA,"BaM, ElastH","ggfortify, KFKSDS",NA,NA
"55","EbayesThresh","Empirical Bayes thresholding using the methods developed by I. M. Johnstone and B. W. Silverman. The basic problem is to estimate a mean vector given a vector of observations of the mean vector plus white noise, taking advantage of possible sparsity in the mean vector. Within a Bayesian formulation, the elements of the mean vector are modelled as having, independently, a distribution that is a mixture of an atom of probability at zero and a suitable heavy-tailed distribution. The mixing parameter can be estimated by a marginal maximum likelihood approach. This leads to an adaptive thresholding approach on the original data. Extensions of the basic method, in particular to wavelet thresholding, are also implemented within the package.","Bernard W. Silverman [aut],
  Ludger Evers [aut],
  Kan Xu [aut],
  Peter Carbonetto [aut, cre],
  Matthew Stephens [aut]",NA,"EbayesThresh results",NA,"Bayesian","GPL-2 | GPL-3 [expanded from: GPL (≥ 2)]","Peter Carbonetto  <peter.carbonetto at gmail.com>","no","2017-08-08","1.4-12","stats, wavethresh",NA,NA,"testthat, knitr, rmarkdown, dplyr, ggplot2",NA,"https://github.com/stephenslab/EbayesThresh","https://github.com/stephenslab/EbayesThresh/issues",NA,NA,NA,NA,"adlift, binhf, CVThresh, nlt, treethresh","icmm, POCRE",NA,NA,NA
"56","ebdbNet","Infer the adjacency matrix of a network from time course data using an empirical Bayes estimation procedure based on Dynamic Bayesian Networks.","Andrea Rau","ebdbNet citation info","ebdbNet results","R (≥ 2.8.1), igraph","Bayesian","GPL (≥ 3)","Andrea Rau  <andrea.rau at inra.fr>","yes","2016-11-21","1.2.5","graphics, stats",NA,"README NEWS","GeneNet",NA,"http://github.com/andreamrau/ebdbNet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","eco","Implements the Bayesian and likelihood methods proposed in Imai, Lu, and Strauss (2008 <doi:10.1093/pan/mpm017>) and (2011 <doi:10.18637/jss.v042.i05>) for ecological inference in 2 by 2 tables as well as the method of bounds introduced by Duncan and Davis (1953). The package fits both parametric and nonparametric models using either the Expectation-Maximization algorithms (for likelihood models) or the Markov chain Monte Carlo algorithms (for Bayesian models). For all models, the individual-level data can be directly incorporated into the estimation whenever such data are available. Along with in-sample and out-of-sample predictions, the package also provides a functionality which allows one to quantify the effect of data aggregation on parameter estimation and hypothesis testing under the parametric likelihood models.","Kosuke Imai [aut],
  Ying Lu [aut, cre],
  Aaron Strauss [aut],
  Hubert Jin [ctb]","eco citation info","eco results","R (≥ 2.0), MASS, utils","Bayesian, Environmetrics","GPL-2 | GPL-3 [expanded from: GPL (≥ 2)]","Ying Lu  <ying.lu at nyu.edu>","yes","2017-08-01","4.0-1",NA,NA,"ChangeLog",NA,NA,"https://github.com/kosukeimai/eco","https://github.com/kosukeimai/eco/issues",NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","eigenmodel","Estimation of the parameters in a model for symmetric relational data (e.g., the above-diagonal part of a square matrix), using a model-based eigenvalue decomposition and regression. Missing data is accommodated, and a posterior mean for missing data is calculated under the assumption that the data are missing at random. The marginal distribution of the relational data can be arbitrary, and is fit with an ordered probit specification. See Hoff (2007) <arXiv:0711.1146> for details on the model.","Peter Hoff",NA,"eigenmodel results",NA,"Bayesian","GPL-2","Peter Hoff  <peter.hoff at duke.edu>","no","2018-06-03","1.10",NA,NA,"NEWS",NA,NA,"https://pdhoff.github.io/",NA,NA,NA,NA,NA,NA,"networktools","sand",NA,NA
"59","ensembleBMA","Bayesian Model Averaging to create probabilistic forecasts from ensemble forecasts and weather observations.","Chris Fraley, Adrian E. Raftery, J. McLean Sloughter, Tilmann
        Gneiting, University of Washington.",NA,"ensembleBMA results","R (≥ 2.10), chron","Bayesian, TimeSeries","GPL-2 | GPL-3 [expanded from: GPL (≥ 2)]","Chris Fraley  <fraley at u.washington.edu>","no","2018-01-18","5.1.5",NA,NA,"ChangeLog","fields, maps",NA,NA,NA,NA,NA,NA,NA,"ensembleMOS",NA,"ensemblepp",NA,NA
"60","evdbayes","Provides functions for the bayesian analysis of extreme value models, using MCMC methods.","Alec Stephenson and Mathieu Ribatet.",NA,"evdbayes results","R (≥ 1.8.0)","Bayesian, Distributions, Environmetrics, ExtremeValue","GPL-2 | GPL-3 [expanded from: GPL (≥ 2)]","Mathieu Ribatet  <mathieu.ribatet at univ-montp2.fr>","yes","2014-03-31","1.1-1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"revdbayes",NA,NA
"61","exactLoglinTest","Monte Carlo and MCMC goodness of fit tests for log-linear models","Brian Caffo",NA,"exactLoglinTest results","R (≥ 1.5)","Bayesian, SocialSciences","GPL-2 | GPL-3 [expanded from: GPL]","Brian Caffo  <bcaffo at gmail.com>","yes","2013-02-05","1.4.2",NA,NA,NA,"stats",NA,"http://www.bcaffo.com",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","factorQR","Package to fit Bayesian quantile regression models that assume a factor structure for at least part of the design matrix.","Lane Burgette,",NA,"factorQR results","R (≥ 2.1), lattice","Bayesian","GPL-2 | GPL-3 [expanded from: GPL (≥ 2)]","Lane Burgette  <lb131 at stat.duke.edu>","yes","2010-09-29","0.1-4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","FME","Provides functions to help in fitting models to data, to perform Monte Carlo, sensitivity and identifiability analysis. It is intended to work with models be written as a set of differential equations that are solved either by an integration routine from package 'deSolve', or a steady-state solver from package 'rootSolve'. However, the methods can also be used with other types of functions.","Karline Soetaert,
        Thomas Petzoldt","FME citation info","FME results","R (≥ 2.6), deSolve, rootSolve, coda","Bayesian, DifferentialEquations","GPL-2 | GPL-3 [expanded from: GPL (≥ 2)]","Karline Soetaert  <karline.soetaert at nioz.nl>","yes","2016-09-09","1.3.5","minpack.lm, MASS, graphics, grDevices, stats, utils, minqa",NA,NA,"diagram",NA,NA,NA,NA,NA,NA,NA,"BCE, phytotools","bioinactivation, bioOED, capm, growthrates, mkin","airGR, simecol, SoilR",NA,NA
"64","geoR","Geostatistical analysis including traditional, likelihood-based and Bayesian methods.","Paulo J. Ribeiro Jr and
        Peter J. Diggle",NA,"geoR results","R (≥ 2.10), stats, methods","Bayesian, Distributions, Spatial","GPL-2 | GPL-3 [expanded from: GPL (≥ 2)]","Paulo J. Ribeiro Jr  <paulojus at ufpr.br>","yes","2018-07-29","1.7-5.2.1","MASS, sp, splancs, RandomFields, graphics",NA,NA,"scatterplot3d, lattice, tcltk, geoRglm",NA,"http://www.leg.ufpr.br/geoR",NA,NA,NA,NA,NA,"aqfig, FeedbackTS, geofd, geoRglm, geotoolsR, lmenssp, LS2Wstat, PrevMap, StatDA","CensSpatial, convoSPAT, eefAnalytics, gcmr, reportRx, scpm, spTest, SubgrPlots, TED, UncerIn2, variosig, windfarmGA","bamlss, gamair, gear, geoBayes, georob, ipdw, npsp, pedometrics, prevR, RandomFields, rpanel, simba, spBayes",NA,"geostatsp"
"65","geoRglm","Functions for inference in generalised linear spatial models. The posterior and predictive inference is based on Markov chain Monte Carlo methods. Package geoRglm is an extension to the package geoR, which must be installed first.","Ole F. Christensen [aut, cre],
  Paulo J. Ribeiro Jr [aut]","geoRglm citation info","geoRglm results","R (≥ 3.0.0), geoR (≥ 1.7-5), stats","Bayesian, Spatial","GPL-2 | GPL-3 [expanded from: GPL (≥ 2)]","Ole F. Christensen  <OleF.Christensen at mbg.au.dk>","yes","2017-10-18","0.9-11","sp",NA,NA,"coda",NA,"http://gbi.agrsci.dk/~ofch/geoRglm",NA,NA,NA,NA,NA,NA,NA,"geoR",NA,"glmmBUGS"
"66","ggmcmc","Tools for assessing and diagnosing convergence of Markov Chain Monte Carlo simulations, as well as for graphically display results from full MCMC analysis. The package also facilitates the graphical interpretation of models by providing flexible functions to plot the results against observed variables.","Xavier FernÃ¡ndez i MarÃ­n","ggmcmc citation info","ggmcmc results","dplyr (≥ 0.5.0), tidyr (≥ 0.5.1), ggplot2","Bayesian","GPL-2","Xavier FernÃ¡ndez i MarÃ­n  <xavier.fim at gmail.com>","no","2016-06-28","1.1","GGally (≥ 1.1.0)",NA,"README NEWS","coda, rstan (≥ 2.10.1), knitr, rmarkdown, ggthemes, gridExtra, Cairo, extrafont",NA,"http://xavier-fim.net/packages/ggmcmc,
https://github.com/xfim/ggmcmc","https://github.com/xfim/ggmcmc/issues",NA,NA,NA,NA,NA,"dalmatian, ggdmc, MixSIAR","airGR, crmPack, ltbayes",NA,NA
"67","glmmBUGS","Automates running Generalised Linear Mixed Models, including spatial models, with WinBUGS, OpenBUGS and JAGS. Models are specified with formulas, with the package writings model files, arranging unbalanced data in ragged arrays, and creating starting values. The model is re-parameterized, and functions are provided for converting model outputs to the original parameterization.","Patrick Brown, Lutong Zhou","glmmBUGS citation info","glmmBUGS results","R (≥ 3.0.0)","Bayesian, Spatial","GPL-2 | GPL-3 [expanded from: GPL]","Patrick Brown  <patrick.brown at utoronto.ca>","no","2018-05-01","2.4.2","abind, methods, MASS, sp, graphics, stats",NA,NA,"spdep","Compiling vignette requires JAGS
(http://mcmc-jags.sourceforge.net) and OpenBUGS (>= 3.2.2)
(http://www.openbugs.net)",NA,NA,NA,"nlme, diseasemapping, geoRglm, R2WinBUGS, R2OpenBUGS, R2jags, rjags",NA,NA,NA,NA,NA,NA,NA
"68","gRain","Probability propagation in graphical independence networks, also known as Bayesian networks or probabilistic expert systems.","SÃ¸ren HÃ¸jsgaard","gRain citation info","gRain results","R (≥ 3.0.2), methods, gRbase (≥ 1.7-2)","Bayesian, gR","GPL-2 | GPL-3 [expanded from: GPL (≥ 2)]","SÃ¸ren HÃ¸jsgaard  <sorenh at math.aau.dk>","yes","2016-10-17","1.3-0","igraph, graph, magrittr, functional, Rcpp (≥ 0.11.1)","Rcpp (≥ 0.11.1), RcppArmadillo, RcppEigen, gRbase (≥
1.8-0)","ChangeLog","Rgraphviz, microbenchmark",NA,"http://people.math.aau.dk/~sorenh/software/gR/",NA,NA,NA,NA,NA,"geneNetBP","bnspatial, gRim","bnclassify, bnlearn",NA,NA
"69","growcurves","Employs a non-parametric formulation for by-subject random effect parameters to borrow strength over a constrained number of repeated measurement waves in a fashion that permits multiple effects per subject. One class of models employs a Dirichlet process (DP) prior for the subject random effects and includes an additional set of random effects that utilize a different grouping factor and are mapped back to clients through a multiple membership weight matrix; e.g. treatment(s) exposure or dosage. A second class of models employs a dependent DP (DDP) prior for the subject random effects that directly incorporates the multiple membership pattern.","Terrance Savitsky","growcurves citation info","growcurves results","R (≥ 3.2.2), Rcpp (≥ 0.11.6)","Bayesian","GPL-2 | GPL-3 [expanded from: GPL (≥ 2)]","Terrance Savitsky  <tds151 at gmail.com>","yes","2016-12-21","0.2.4.1","reshape2 (≥ 1.2.1), Formula (≥ 1.0-0), ggplot2 (≥ 1.0.1)","Rcpp (≥ 0.11.6), RcppArmadillo (≥ 0.5.000)","NEWS","testthat (≥ 0.9.1)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","hbsae","Functions to compute small area estimates based on a basic area or unit-level model. The model is fit using restricted maximum likelihood, or in a hierarchical Bayesian way. In the latter case numerical integration is used to average over the posterior density for the between-area variance. The output includes the model fit, small area estimates and corresponding MSEs, as well as some model selection measures. Additional functions provide means to compute aggregate estimates and MSEs, to minimally adjust the small area estimates to benchmarks at a higher aggregation level, and to graphically compare different sets of small area estimates.","Harm Jan Boonstra",NA,"hbsae results","R (≥ 2.10)","Bayesian, OfficialStatistics","GPL-3","Harm Jan Boonstra  <hjboonstra at gmail.com>","no","2012-09-05","1.0","Matrix, arm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
